state_code,State,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14
0,Total,17.35,14.43,14.66,13.73,13.57,12.71,12.1,11,10.5,10.89,9.34,11.82,14.28,18.1,19.75,18.57,15.53,8.85
1,Aguascalientes,37.08,6.77,2.72,1.39,2.15,2.49,1.98,1.57,1.73,2.33,4.32,5.46,5.61,6.27,5.84,3.57,3.11,1.97
2,Baja California,21.33,12.23,26.61,18.04,17.36,17.24,17.26,16.51,18.51,16.22,16.8,27.47,23.67,27.41,20.55,17.73,22.92,14.19
3,Baja California Sur,14.06,4.09,6.84,6.65,5.21,5.65,4.69,6.8,6.22,3.54,4.79,4.63,4.94,7.39,5.65,5.03,7.8,3.91
4,Campeche,19.71,17.37,11.35,7.85,7.28,7.15,7.42,4.9,6.64,3.58,4.53,5.56,4.98,7.05,6.92,7.96,7.61,4.14
5,Coahuila de Zaragoza,7.69,7.13,5.9,4.72,4.85,5.3,4.62,4.04,5.37,4.15,4.54,6.62,8.75,14.63,23.42,27.01,22.32,8.61
6,Colima,18.61,16.53,9.74,8.18,10.04,7.95,5.91,7.7,5.89,5.12,4.86,5.23,8.06,14.11,24.54,41.87,25.49,10.41
7,Chiapas,34.73,35.02,35.56,30.49,29.53,24.45,20.94,17.58,9.12,7.76,7.64,6.85,10.32,10.46,12.31,11.35,10.55,5.46
8,Chihuahua,24.09,20.36,14.52,14.63,15.74,16.99,14.88,13.79,16.82,17.85,18.27,59.16,90.56,110.71,86.68,55.49,39.69,20.36
9,Distrito Federal,10.98,10.63,9.86,7.93,9.01,8.34,7.96,7.9,7.77,7.23,7.96,7.95,8.34,9.07,8.72,8.74,8.42,5.26
10,Durango,4.14,9.04,19.55,17.9,21.23,15.21,14.02,7.73,12.07,12.93,15.57,26.41,56.36,61.32,45.2,36.15,27.54,11.96
11,Guanajuato,11.26,4.53,5.06,4.26,4.51,3.99,4.06,3.67,4.01,4.54,4.26,4.73,7.52,7.86,10.76,13.6,11.21,7.9
12,Guerrero,39.93,40.76,38.62,43.36,38.73,31.77,24.66,16.38,22.83,25.17,23.88,28.13,41.9,43.55,62.13,66.01,59.22,29.01
13,Hidalgo,15.36,10.6,8.38,4.81,6.15,5.31,4.6,4.96,4.71,3.99,5.73,5.34,5.17,4.98,4.07,3,4.42,3.48
14,Jalisco,9.47,9.44,8.45,7.46,7.4,6.46,6.28,5.42,5.56,6.07,5.48,6.4,7.77,11.93,16.2,15.49,14.19,7.36
15,Mexico,24.99,17.88,23.39,21.08,21.69,21.32,19.97,20.42,16.25,19.08,7.63,8.38,8.78,7.4,9.54,13.22,11.81,7.97
16,Michoacan de Ocampo,18.23,24.57,13.83,11.7,11.37,10.21,10.45,10.57,10.09,15.52,12.28,13.04,16.61,14.95,17.34,16.8,19.91,15.27
17,Morelos,11.48,13.79,21.8,22.11,11.98,13.87,10.49,13.16,9.51,9.33,6.54,7.7,17.81,31,30.43,46.57,31.85,15.81
18,Nayarit,14.37,17.83,15.7,12.92,13.41,12.21,9.78,11.09,9.32,9.25,10.43,13.89,13.66,33.1,40.28,21.12,12.81,7.08
19,Nuevo Leon,4.36,4.2,3.38,3.11,3.48,3.02,3.23,2.75,3.3,4.08,6.31,5.76,5.75,17.53,41.75,29.97,14.55,6.66
20,Oaxaca,21.91,0.39,22.52,35.19,35.65,38.61,42.28,30.22,28.08,28.69,25.12,19.27,19.59,17.22,16.43,12.01,13.54,10.34
21,Puebla,14.46,13.2,11.08,10.91,9.47,8.63,8.99,8.52,6.15,7.42,7.1,7.5,7.14,7.08,10.43,9.63,7.05,3.16
22,Queretaro,15.97,2.61,3.6,3.99,5.45,4.42,4.34,3.72,4.02,3.03,3.26,3.26,4.96,3.19,5.21,5.75,5.71,3.09
23,Quintana Roo,40.6,13.57,13.65,26.1,25.81,19.11,21.62,12.61,10.49,10.13,14.45,15.21,13.55,17.32,19.28,17.36,14.41,7.19
24,San Luis Potosi,12.79,12.54,17.41,10.63,8.1,10.1,4.95,8.09,7.1,5.24,6.06,8.53,6.1,15.94,15.18,14.8,9.66,5.79
25,Sinaloa,27.29,25.91,22.49,19.74,21.43,18.64,18.31,19.36,22.65,22.12,26.91,41.48,44.35,78.91,66.21,50.52,41.2,23.22
26,Sonora,24.35,25.19,12.99,8.47,7.94,6.95,8.4,10.16,10.99,9.36,11.91,14.93,18.59,23.98,17.06,17.83,20.17,13.66
27,Tabasco,18.75,19.22,11.77,10.63,8.43,6.93,7.27,5.74,3.96,7.73,8.88,6.72,5.25,6.35,7.1,5.37,6,4.66
28,Tamaulipas,18.08,16.02,9.27,7.92,5.79,6.32,8.22,7.44,11.61,11.06,8.32,9.51,8.75,21.62,25.32,29.71,16.03,13.25
29,Tlaxcala,6.61,5.04,16.4,27.68,34.26,29.56,26.89,24.02,31.86,16.8,0,3.65,4.11,4.05,5.89,4.82,5.63,3.89
30,Veracruz de Ignacio de la Llave,10.13,9.86,8.18,6.43,6.43,6.17,6.83,6.31,6.19,5.82,6.37,6.3,4.54,7.56,11.42,12.32,10.89,4.37
31,Yucatan,6.7,1.38,0.47,1.51,0.92,1.69,1.78,1.65,1.19,1.17,1.58,2.44,1.69,1.82,2.29,1.87,1.94,1.24
32,Zacatecas,7.91,22.16,6.34,6.77,6.61,7.29,7.33,3.84,4.04,3.45,4.52,5.01,5.09,7.29,7.81,12.69,10.77,3.97
