year,0,1,2,3,4,7,8,5,6,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
State,Total,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Coahuila de Zaragoza,Colima,Distrito Federal,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Queretaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
1997,116086,186,10345,649,186,525,9003,948,200,37239,402,2482,-1,249,19904,14440,1052,1674,-1,2670,930,2533,492,158,767,2886,3387,-1,1047,163,1052,136,381
1998,74119,-1,-1,638,136,-1,8788,638,253,27442,-1,2585,-1,383,-1,11756,1894,1532,-1,2335,570,3091,2008,132,563,3341,3740,-1,-1,374,990,332,598
1999,93632,696,-1,621,138,896,6051,556,146,27179,486,2715,983,406,12656,20692,1735,1955,202,2062,651,3102,1633,324,999,2255,2089,709,-1,322,787,308,278
2000,93422,552,-1,716,88,729,6225,532,149,25575,788,2564,1640,727,12674,19517,1871,1675,234,2036,259,2763,1086,414,905,2370,1616,787,2680,445,825,249,731
2001,90803,600,-1,984,71,1087,6108,591,156,21301,597,2988,1710,787,11586,21772,1816,1463,209,2098,619,2630,1161,563,1251,2297,878,755,2654,383,897,268,523
2002,86919,455,-1,832,42,892,7002,554,128,19923,504,2809,1557,919,9413,21794,1614,1349,234,1936,246,2727,1339,534,997,1924,818,662,2954,415,1183,302,861
2003,90268,526,-1,725,16,962,7747,541,160,19694,361,3084,863,891,8908,22512,2281,1302,159,2555,245,2715,1400,733,976,2315,739,896,3644,386,1498,206,1228
2004,114145,469,28296,941,18,1070,7300,571,298,17811,542,2276,1094,924,7206,19281,2787,1723,62,2254,333,2825,1051,276,1001,2998,2918,759,3909,426,1548,240,938
2005,116075,512,28076,1403,13,1192,8865,629,355,15800,483,2380,1307,1196,6463,17642,2871,1670,197,2745,365,2589,1199,537,1235,3661,3543,853,4913,496,1936,242,707
2006,121644,397,28130,1420,37,1456,10220,749,389,15213,767,2616,1966,1290,5424,18728,3836,1787,377,3835,829,2970,1104,606,1161,3190,3413,983,5274,671,1952,210,644
2007,136058,565,33720,1357,18,1284,9458,752,360,14985,1334,2628,2195,1457,5693,19112,4033,1803,569,8728,871,3058,1364,660,1361,3811,4445,1163,5418,346,2325,315,870
2008,161355,1646,32809,1302,45,1043,23547,1372,396,16050,1902,3662,2238,2035,6895,20678,4057,1726,651,10245,1182,3619,1691,850,1331,4133,4375,1350,5822,524,2462,403,1314
2009,159654,2153,24952,834,51,609,23049,1868,304,14818,2303,5985,2599,2162,6429,23155,4684,2650,675,11460,1700,3504,1688,1029,1926,3496,4290,1722,5369,522,2216,408,1044
2010,171173,2501,22261,697,189,1106,22006,2998,535,14564,4764,3019,3059,2589,7752,26067,4634,2029,1164,10225,1743,3660,2078,1484,2781,4083,5120,1928,8596,907,4495,267,1872
2011,161178,1971,21960,1210,130,1273,14853,2717,1716,12396,2831,3863,4203,2634,8304,25529,5081,2238,934,9132,1977,3952,2351,616,2803,4357,4923,2277,7102,1080,4879,206,1680
2012,146457,1924,18911,930,41,1373,10029,3574,2024,12599,2311,4307,3395,2378,7189,29200,5414,2684,667,5139,1583,2797,2877,295,833,3936,4312,1283,5740,799,5095,211,2607
2013,131907,1454,16720,1391,64,1492,8058,2711,1355,12056,2248,3596,3063,2250,8145,28883,4812,2869,368,2408,1287,2391,2657,271,621,3196,4233,1196,3572,950,5113,196,2281
2014,116703,1399,15513,1108,53,1273,5462,1703,954,10634,1385,4369,2797,1976,5729,24891,4931,2412,221,1922,1328,1839,3782,329,675,2725,4332,1526,3750,912,4536,146,2091
2015,112712,1585,13674,1190,73,1138,4009,1203,924,8801,1301,4912,2824,2443,5335,24497,4380,2411,212,2411,1458,2237,3640,789,809,2110,4490,2250,4040,988,4777,117,1684
2016,116555,2549,15824,1820,196,1690,3413,752,1516,7946,966,4618,2291,2694,5788,22120,3950,2547,204,3169,1558,3350,4577,412,1231,2501,3581,3580,3032,1199,5589,105,1787
2017*,30864,636,5245,344,42,465,953,239,392,1799,330,1101,554,806,1373,4416,1101,558,70,881,385,1577,1224,214,386,911,1050,998,629,412,1409,17,347
