year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
State,Total,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila,Colima,Chiapas,Chihuahua,Distrito Federal,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Queretaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
97,119.42,19.43,448.53,152.11,28.21,13.44,320.3,41.65,37.6,418.64,27.29,49.3,-1,10.63,314.03,118.8,25.33,107.93,-1,71.48,25.86,50.24,33.58,19.15,32.6,117.73,156.77,-1,40.03,17.09,14.76,8.28,26.68
98,75.26,-1,-1,145.03,20.19,-1,306.38,27.55,46.98,307.89,-1,50.94,-1,16.23,-1,94.62,45.53,97.81,-1,61.34,15.73,60.45,134.28,15.31,23.78,134.65,169.73,-1,-1,38.43,13.8,19.9,41.94
99,93.91,70.17,-1,136.98,20.08,21.94,206.73,23.62,26.83,304.42,32.65,53.09,30.57,17.09,196.15,163.2,41.72,123.91,21.72,53.19,17.81,59.79,106.94,35.97,42.01,89.91,92.93,36.43,-1,32.4,10.92,18.16,19.58
0,92.59,54.74,-1,153.5,12.56,17.5,208.34,22.22,27.08,285.92,52.62,49.85,50.83,30.41,194.58,150.91,44.95,105.21,24.98,51.54,7.05,52.63,69.86,44.1,37.86,93.38,70.57,39.83,96.03,43.98,11.41,14.47,51.56
1,88.92,58.5,-1,204.92,9.94,25.64,200.35,24.29,27.96,237.7,39.49,57.79,52.77,32.68,175.75,165,43.48,90.81,22.07,52.1,16.83,49.61,73.52,57.66,51.97,89.34,37.67,37.67,93.06,37.28,12.36,15.35,36.78
2,84.05,43.59,-1,167.9,5.77,20.65,225.3,22.4,22.6,222.02,33.03,53.93,47.79,37.8,141.09,161.92,38.48,82.78,24.42,47.18,6.66,50.83,83.29,52.6,41.1,73.93,34.47,32.55,101.47,39.7,16.22,17.05,60.36
3,86.2,49.52,-1,141.65,2.16,21.88,244.74,21.53,27.81,219.26,23.44,58.77,26.34,36.27,131.91,164.04,54.15,78.98,16.38,61.12,6.59,50.02,85.55,69.5,39.92,87.92,30.58,43.44,122.75,36.29,20.43,11.46,85.78
4,107.73,43.43,994.26,177.84,2.39,23.9,226.79,22.39,51.01,198.28,34.93,43.09,33.24,37.25,105.61,137.94,66.03,103.55,6.31,52.98,8.91,51.42,63.07,25.21,40.68,112.7,118.6,36.28,129.33,39.35,21,13.16,65.47
5,108.33,46.68,963.93,256.6,1.69,26.2,271.08,24.31,59.78,175.94,30.84,44.84,39.53,47.75,93.62,123.95,67.81,99.29,19.75,63.39,9.73,46.69,70.85,47.34,49.85,136.14,141.63,40.23,159.76,45.15,26.13,13.09,49.19
6,112.21,35.63,944.77,251.32,4.73,31.54,307.61,28.53,64.29,169.45,48.38,49.05,59.12,50.95,77.48,129.19,90.07,104.84,37.11,86.98,22.08,53.12,64.3,51.59,46.44,117.21,134.26,45.78,168.53,60.28,26.2,11.21,44.47
7,123.93,49.87,1108.56,232.11,2.26,27.39,280.11,28.23,58.33,166.99,83.09,48.87,65.53,56.8,80.16,129.44,94,104.37,54.93,194.51,23.08,54.11,78.08,54.18,53.9,138.39,171.88,53.48,170.13,30.61,30.98,16.59,59.59
8,144.97,142.63,1056.41,215.08,5.56,21.9,686.2,50.74,62.8,178.94,116.81,67.35,66.19,78.11,95.58,137.48,93.62,98.45,61.49,224.33,31.07,63.24,94.97,67.36,52.08,148.29,166.21,61.3,179.74,45.59,32.52,20.93,89.02
9,141.47,183.09,787.55,133.04,6.19,12.59,661.36,68.08,47.13,165.35,139.57,108.75,76.1,81.61,87.68,151.19,106.9,148.9,62.28,246.65,44.29,60.45,92.98,78.8,74.39,123.93,160.1,77.23,163.18,44.66,28.98,20.88,69.87
10,149.82,209.15,690.3,107.29,22.59,22.55,624.24,107.76,81.19,162.82,285.3,54.31,88.81,96.24,104.16,167.4,104.84,112.51,104.97,216.48,45.06,62.42,112.43,109.85,106.29,143.2,187.75,85.59,257.78,76.47,58.28,13.48,124.05
11,139.33,162.21,670.45,179.88,15.25,25.56,417.31,96.41,255.26,138.84,167.47,68.8,121,96.46,110.09,161.11,113.97,122.48,82.49,190.36,50.67,66.59,124.98,44.15,105.87,151.36,177.89,99.73,210.34,89.53,62.62,10.25,110.33
12,125.12,155.93,568.13,133.73,4.73,27.19,278.68,125.21,295.3,141.38,135.17,75.99,97.01,85.88,94.05,181.29,120.45,145.02,57.73,105.55,40.27,46.6,150.41,20.48,31.14,135.46,153.46,55.56,167.87,65.24,64.83,10.36,169.65
13,111.42,116.11,494.52,193.68,7.27,28.87,221.62,93.8,194.04,135.56,130.06,62.87,86.92,80.25,105.2,176.5,106.23,153.08,31.23,48.73,32.51,39.41,136.68,18.25,22.98,108.99,148.45,51.23,103.83,76.44,64.53,9.5,147.14
14,65.25,77.86,312.09,91.63,3.02,16.43,104.54,41.77,97.19,82.33,50.89,49.12,47.96,41.37,48.84,101.94,73.91,90.02,12.82,23.97,22.95,18.1,123.17,7.65,20.93,61.28,100.33,40.73,66.92,48.23,33.9,3.82,90.83
