year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
State,Total,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila,Colima,Chiapas,Chihuahua,Distrito Federal,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Queretaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
97,36.66,0.63,-1,-1,-1,8.09,-1,5.89,32.52,238.79,0.75,0.64,59.75,3.37,-1,40.24,27.93,25.73,32.23,4.26,-1,-1,57.94,7.03,3.23,8.16,6.06,80.64,43.51,1.99,5.85,1.83,27.59
98,80.6,52.31,1220.57,-1,3.41,8.29,1.71,2.59,30.64,220.67,26.24,0.63,61.57,2.46,254.15,44.38,0.62,29.94,28.1,-1,-1,0.84,-1,2.67,4.48,-1,6.72,54.16,88.97,6.68,4.77,-1,20.9
99,62.56,0.91,1040.65,-1,2.47,6.69,11.31,1.7,7.17,197.1,0.6,1.35,20.12,2.61,40.1,75.26,-1,31.75,5.91,2.63,-1,5.05,8.91,14.65,7.48,32.53,3.16,-1,104.71,6.44,3.19,-1,3.59
0,64.22,2.08,1158.19,-1,2.28,6.12,3.18,1.17,6.91,202,3.27,1.26,5.3,15.1,42.7,85.37,1.85,25.88,8.65,2.08,-1,6.67,4.89,14.17,5.27,20.33,4.1,-1,-1,3.36,3.21,-1,4.58
1,57.69,2.54,865.35,-1,0.42,7.92,9.38,2.42,5.74,192.32,2.84,0.68,5.99,10.26,55.05,91.5,0.98,23.28,6.23,3.77,5.36,5.41,2.53,5.02,3.86,12.72,1.2,-1,-1,4.87,3.2,-1,3.66
2,51.97,2.11,865.17,-1,0.14,7.2,10.04,1.17,6.18,158.44,0.98,0.73,7.43,17.03,19.61,86.33,1.26,17.43,3.97,3.09,-1,5.24,3.42,10.14,6.31,13.83,1.64,-1,-1,4.02,3.13,-1,2.73
3,54,1.04,896.03,-1,-1,9.53,7.3,0.72,4.52,158.77,1.56,1.05,19.35,18.32,21.65,90.11,1.92,8.67,2.47,2.13,-1,3.59,1.77,6.26,3.56,20.32,1.37,-1,-1,2.54,4.85,-1,3.84
4,28.61,2.32,-1,0.38,0.53,7.1,9.2,0.75,13.7,149.57,22.36,1.06,3.71,9.96,13.47,90.26,2.75,10.46,2.75,2.82,-1,2.95,0.72,2.92,2.97,24.13,3.94,-1,-1,0.46,4.39,-1,2.79
5,25.62,1.09,-1,0.37,1.04,4.53,8.23,1.04,6.9,129.1,0.19,1.17,5.69,15.65,12.54,82.93,2.08,16.35,2.41,3.26,-1,2.69,1.42,1.5,0.97,29.9,3.12,-1,-1,-1,4.1,-1,3.34
6,23.21,1.71,-1,1.59,0.38,3.47,8.52,0.65,11.73,118,-1,1.5,6.19,12.76,8.24,71.39,2.23,32.38,4.82,4.72,-1,3.52,1.69,3.24,0.16,31.82,3.89,-1,-1,0.45,3.85,-1,2.9
7,24.66,1.68,-1,0.17,-1,5.2,12.38,1.2,20.58,120.63,0.44,1.73,10.06,11.07,9.38,74.62,4.78,25.24,3.57,8.13,-1,4.34,2.06,3.2,1.43,38.13,2.75,-1,-1,0.62,5.65,-1,3.49
8,29.17,5.63,-1,0.99,0.25,6.28,58.49,2.03,12.69,122.37,1.72,3.51,16.39,12.51,11.13,83.61,5.58,39.47,4.06,15.13,-1,3.63,5.95,8.16,1.29,57.69,2.81,-1,-1,-1,7.09,-1,10.64
9,37.81,3.91,1.17,0.48,-1,12.88,109.29,9.29,-1,127.12,19.58,6.9,19.85,18.99,12.06,107.68,6.48,83.44,5.54,28.78,-1,5.4,7.55,13.55,1.7,83.94,3.06,-1,14.22,-1,4.59,-1,9.5
10,53.69,8.95,2.05,0.46,0.24,10.64,188.58,29.3,-1,110.78,92.47,6.24,18.32,17.32,17.08,135.61,13.14,94.6,11.99,111.53,-1,6.17,7.2,9.1,6.42,186.19,5.5,-1,69,0.17,11.57,-1,50.89
11,62.23,7.98,10.26,0.89,0.23,10.14,185.88,46.52,-1,75.84,112.81,8.57,45.69,9.96,22.4,133.98,19.74,104.37,13.16,248.29,0.38,10.83,8.19,5.88,14.47,206.67,7.01,-1,110.94,9.04,25.76,-1,68.56
12,53.3,4.38,9.22,0.58,0.23,7.44,95.42,45.72,-1,66.38,55.39,8.36,58.27,2.89,21.44,150.21,25.14,103.31,9,123.38,2.57,12.45,10.25,1.53,19.36,169.56,3.52,-1,94.37,8.25,21.73,-1,53.56
13,48.01,4.47,10.68,-1,0.11,10.04,39.91,32.14,-1,58.73,51.67,8.34,40.75,12.26,22.56,177.04,31.7,93.8,4.5,31.25,6.01,9.1,8.64,1.01,4.44,128.64,3.54,-1,73.56,6.92,19.39,0.05,33.35
14,27.43,3.7,8.91,-1,-1,6.73,15.33,16.44,-1,38.21,17,4.99,32.88,9.85,14.72,99.56,22.35,41.32,0.92,12.81,2.61,4.37,7.19,0.26,2.9,75.47,2.83,-1,43.74,5.47,8.95,-1,18.1
