year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
State,Total,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila,Colima,Chiapas,Chihuahua,Distrito Federal,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Queretaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
97,1.08,0.73,1.21,0.23,-1,1.13,1.07,-1,2.63,0.25,0.07,0.26,1.85,0.21,1.77,0.3,2.7,0.39,0.98,0.13,1.92,0.46,0.2,0.97,-1,0.94,0.32,16.89,-1,-1,0.11,2.38,3.15
98,0.75,0.62,3.02,1.14,0.89,0.3,0.63,0.13,0.74,0.74,0.4,0.39,1.4,0.3,1.55,0.2,1.85,0.45,0.32,0.39,1.49,0.53,0.33,0.81,-1,1.05,0.27,3.97,-1,0.1,0.08,-1,2.1
99,0.59,0.2,0.93,1.1,0.87,0.91,0.1,-1,0.55,1.34,0.34,0.22,1.09,0.55,0.48,0.28,1.51,0.57,2.69,0.03,2.13,0.23,0.39,0.78,0.08,1.52,0.31,-1,0.15,-1,0.11,-1,-1
0,0.59,0.1,1.84,0.21,-1,0.67,0.17,-1,0.18,1.58,1.4,0.16,1.3,0.25,0.41,0.5,0.7,2.2,0.75,0.05,0.27,0.32,0.32,0.32,0.04,1.18,1.66,-1,0.47,-1,0.06,-1,0.28
1,0.49,-1,0.95,0.42,0.28,0.71,0.07,-1,0.18,1.65,0.6,0.15,1.36,0.17,0.21,0.58,0.72,1.37,0.74,0.1,0.05,0.21,0.06,1.23,0.25,0.97,0.21,-1,0.25,-1,0.1,-1,0.07
2,0.42,0.19,0.81,-1,-1,0.28,0.13,0.08,0.18,1.6,0.59,0.21,0.86,0.16,0.24,0.61,0.57,0.37,1.15,0.07,0.16,0.22,0.06,-1,0.08,0.46,0.29,-1,0.14,-1,0.14,-1,-1
3,0.39,-1,0.72,-1,0.13,0.3,0.19,-1,0.35,1.51,0.71,0.08,0.7,0.24,0.19,0.58,0.47,0.61,0.1,0.12,0.16,0.17,0.06,-1,0.04,0.53,0.33,-1,0.17,-1,0.22,-1,0.14
4,0.3,0.37,0.32,0.19,0.27,0.11,0.09,0.04,0.17,1.61,0.19,0.11,0.33,0.24,0.19,0.32,0.19,0.54,0.1,0.14,0.13,0.13,0.06,0.09,0.16,0.26,0.12,-1,-1,-1,0.18,-1,0.21
5,0.26,-1,0.31,-1,0.13,0.13,0.15,0.23,0.17,1.15,0.26,0.08,0.57,0.24,0.1,0.32,0.31,0.71,0.2,0.02,0.03,0.09,-1,0.18,-1,0.22,0.2,-1,0.23,-1,0.08,-1,0.07
6,0.68,0.09,1.28,0.88,-1,0.11,0.3,0.08,0.17,1.02,-1,0.11,0.63,0.28,0.07,0.29,0.38,0.76,0.2,0.02,0.13,0.16,0.06,0.34,0.04,0.33,0.12,-1,0.54,36.65,0.09,-1,0.14
7,0.4,1.5,0.66,-1,0.38,0.32,0.39,0.08,-1,1.31,0.19,0.22,0.84,0.19,0.21,0.35,0.82,0.29,0.29,0.02,0.24,0.09,-1,0.57,0.12,0.54,0.19,0.46,0.63,-1,0.17,-1,0.27
8,0.81,1.91,3.7,0.83,-1,0.19,3.5,0.18,0.63,1.55,0.31,0.26,1.12,0.61,0.18,0.9,2.03,-1,0.28,0.42,0.71,0.14,0.11,0.79,0.04,0.43,0.3,1.54,0.65,-1,0.13,-1,1.56
9,1.03,1.36,3.25,0.48,-1,0.37,6.69,0.62,0.16,0.94,2.24,1.42,1.49,0.57,0.23,0.83,2.24,1.85,0.37,0.28,0.86,0.47,0.17,0.46,0.81,0.64,0.15,0.72,1.58,0.26,-1,-1,2.07
10,1.07,0.84,2.45,0.15,0.36,0.49,3.69,3.27,0.76,0.67,4.73,0.95,1.25,1.3,0.34,1.1,3.08,1.55,0.09,0.38,0.67,0.49,0.49,1.78,0.42,0.6,0.22,1.15,1.41,0.08,0.22,-1,1.13
11,1.24,0.58,1.95,0.45,0.35,0.6,2.73,0.57,1.19,0.6,3.96,0.48,3.94,0.48,0.61,0.65,2.92,1.42,0.88,1.06,1.61,1.06,0.32,1.5,1.51,1.15,0.33,3.28,3.82,0.25,0.77,-1,2.5
12,1.21,-1,0.9,-1,0.35,0.26,1.47,0.84,0.88,0.73,2.92,0.21,4.71,0.83,0.94,0.81,3,4.97,1.9,1.25,1.42,0.48,0.37,1.11,0.93,1.1,0.21,2.51,3.6,0.24,1.16,-1,1.04
13,1.43,0.08,0.98,-1,0.11,0.23,0.88,1,0.43,0.67,1.21,0.3,5.87,0.75,0.89,1.17,4.28,8,0.42,0.93,1.14,0.54,0.31,0.81,0.7,1.16,0.39,4.45,6.1,0.16,1.38,0.05,1.23
14,0.86,-1,0.87,-1,0.22,0.13,0.16,0.38,0.56,0.42,0.46,0.28,2.28,0.56,0.2,0.65,2.06,4.64,0.33,0.62,0.68,0.42,0.15,0.26,0.22,0.44,0.35,3.31,5.08,0.16,1.41,-1,0.83
