year,0,1,2,3,4,7,8,5,6,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
State,Total,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Coahuila de Zaragoza,Colima,Distrito Federal,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Queretaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
1997,876,-1,31,1,3,82,49,-1,37,-1,4,34,78,30,149,-1,143,21,-1,8,55,-1,16,2,11,31,17,16,4,-1,53,-1,1
1998,1020,8,44,3,-1,27,34,-1,-1,158,7,40,80,34,-1,-1,211,40,1,1,35,-1,42,-1,22,63,31,30,12,-1,73,-1,24
1999,3391,9,43,2,-1,118,46,-1,-1,217,10,42,64,30,183,2035,195,57,3,23,67,-1,17,-1,15,76,26,36,4,-1,73,-1,-1
2000,1168,5,48,10,-1,70,16,-1,-1,222,34,26,70,11,153,-1,137,49,2,25,86,-1,13,-1,19,77,28,21,2,-1,44,-1,-1
2001,1337,8,56,6,3,116,29,-1,-1,203,18,55,97,31,163,-1,128,61,-1,34,102,-1,26,-1,12,83,17,30,-1,-1,59,-1,-1
2002,1636,13,90,22,1,110,49,-1,-1,289,17,52,75,21,253,-1,162,108,-1,32,101,-1,8,6,13,92,17,25,9,-1,71,-1,-1
2003,1910,13,108,14,-1,107,39,-1,-1,387,27,84,78,40,261,-1,137,112,2,52,136,-1,21,10,20,115,15,19,9,-1,104,-1,-1
2004,2416,10,152,18,-1,128,36,-1,-1,527,50,145,104,36,255,-1,148,152,-1,77,187,-1,34,25,81,52,34,30,8,-1,127,-1,-1
2005,2979,23,284,91,-1,113,51,-1,-1,469,118,234,31,92,345,-1,106,283,5,74,156,-1,58,30,106,72,39,0,14,-1,185,-1,-1
2006,3157,30,329,70,-1,87,62,-1,-1,382,85,120,36,82,476,-1,114,436,1,82,235,-1,43,22,140,51,45,34,23,-1,159,-1,13
2007,3123,38,216,45,-1,122,39,-1,-1,424,65,116,44,62,406,-1,183,194,1,36,381,-1,35,40,226,48,46,60,55,-1,219,-1,22
2008,4869,51,322,56,-1,79,264,-1,-1,874,96,186,57,140,609,-1,293,245,1,40,326,-1,34,107,334,64,40,141,88,-1,387,-1,35
2009,6332,55,437,87,-1,72,409,89,-1,906,91,340,69,155,659,-1,358,644,1,57,557,-1,37,112,284,74,26,274,153,-1,370,-1,16
2010,6113,42,506,61,-1,94,173,64,-1,1117,265,262,53,123,948,-1,172,612,1,50,380,-1,35,159,185,102,30,194,107,-1,351,1,26
2011,4594,114,356,50,-1,89,238,59,12,751,108,221,85,67,479,-1,184,228,-1,61,121,3,27,147,238,145,28,153,157,-1,400,28,45
2012,7284,85,401,78,16,118,171,78,5,1181,86,523,133,57,486,1039,342,260,-1,196,143,454,40,229,150,129,37,146,154,-1,447,37,63
2013,8196,42,349,123,84,147,161,104,27,965,82,468,174,127,790,1668,261,400,-1,285,173,258,15,204,119,114,34,188,225,-1,461,83,65
2014*,5451,30,274,28,47,161,19,87,12,588,47,30,147,91,621,951,248,340,1,339,93,159,5,249,80,109,23,133,178,7,242,50,62
