rate,country,pais
0,Turkmenistan,Turkmenistan
0.1,Kenya,Kenia
0.1,Myanmar,Myanmar
0.1,Nepal,Nepal
0.1,Pakistan,Pakistan
0.6,Tajikistan,Tajikistan
0.7,Bangladesh,Bangladesh
0.8,Tanzania,Tanzania
1.4,Azerbaijan,Azerbaiyan
2.1,Uganda,Uganda
3,Kazakhstan,Kazajistan
3.2,Namibia,Namibia
3.6,Mongolia,Mongolia
3.6,Nicaragua,Nicaragua
3.7,Moldova,Moldova
4.1,Georgia,Georgia
4.1,Kyrgyzstan,Kirguistan
4.2,Sri Lanka,Sri Lanka
4.3,Armenia,Armenia
4.4,Morocco,Marruecos
4.5,Syria,Siria
4.5,Yemen,Yemen
5.9,Romania,Rumania
6.4,Albania,Albania
6.9,Algeria,Argelia
7.6,Palestine,Palestina
7.6,Zambia,Zambia
7.9,India,India
7.9,Qatar,Qatar
8.1,Suriname,Surinam
8.8,Zimbabwe,Zimbabue
10,Jamaica,Jamaica
11.9,Ukraine,Ucrania
14,Papua N. Guinea,Papua N. G.
14.2,Indonesia,Indonesia
14.3,United Arab Em.,Emiratos Arabes
15.8,Montenegro,Montenegro
16,Belarus,Belarus
17,Oman,Oman
17.1,Cote d'Ivoire,Costa de Marfil
17.6,Tunisia,Tunisia
17.8,Russian Federation,Rusia
17.9,Macedonia,Macedonia
18.8,Panama,Panama
20.6,Singapore,Singapur
20.7,El Salvador,El Salvador
21.5,Belize,Belice
24.6,Paraguay,Paraguay
25.4,Hong Kong,Hong Kong
27.5,Swaziland,Suazilandia
27.7,Lesotho,Lesoto
28.3,Japan,Japon
30.6,Dominican Rep.,R. Dominicana
35.1,Bolivia,Bolivia
35.1,Thailand,Tailandia
35.5,China,China
38.7,Peru,Peru
39,Serbia,Serbia
42.4,Jordan,Jordania
42.5,Slovenia,Eslovenia
44.8,Brunei,Brunei
45.8,Croatia,Croacia
45.9,Turkey,Turquia
46.5,Estonia,Estonia
47.8,Lebanon,Libano
51.4,Germany,Alemania
53.7,Ecuador,Ecuador
54.9,Fiji,Fiji
57.3,Kuwait,Kuwait
57.9,Chile,Chile
63,Guatemala,Guatemala
64.5,Bosnia and H.,Bosnia H.
73.8,Hungary,Hungria
78.5,Austria,Austria
79.6,Mauritius,Mauricio
80,Poland,Polonia
83.3,Colombia,Colombia
84.9,Argentina,Argentina
85.4,Saudi Arabia,Arabia Saudita
88.6,Barbados,Barbados
93.7,Lithuania,Lituania
95.1,Latvia,Letonia
96.9,Slovakia,Eslovaquia
99,Bulgaria,Bulgaria
109.6,Maldives,Maldivas
127.4,Costa Rica,Costa Rica
128.4,Luxembourg,Luxemburgo
134.9,Iran,Iran
138.3,Netherlands,Holanda
138.6,Greece,Grecia
140.7,Uruguay,Uruguay
144.4,Malta,Malta
150.3,Iceland,Islandia
180.4,Belgium,Belgica
196.3,N. Ireland,Irlanda del N.
201.6,South Africa,Sudafrica
205.3,Czech Republic,Rep. Checa
211.1,Cyprus,Chipre
231.3,Portugal,Portugal
268.3,Canada,Canada
271.9,Spain,Espana
281.9,Denmark,Dinamarca
289.3,Bahrain,Bahrain
290.3,Finland,Finlandia
293.1,Scotland,Escocia
312.6,Norway,Noruega
315.3,Malaysia,Malasia
323.4,France,Francia
326.3,Ireland,Irlanda
334,Bahamas,Bahamas
360,England and W.,Inglaterra y W.
390.2,USA,EEUU
436.2,Australia,Australia
469.4,Israel,Israel
475,Italy,Italia
563.2,New Zealand,Nva. Zelanda
566.7,Sweden,Suecia
768.8,Switzerland,Suiza
