rate,country,pais
0,Brunei,Brunei
0.004,Myanmar,Myanmar
0.02,Egypt,Egipto
0.02,Finland,Finlandia
0.02,Singapore,Singapur
0.02,Thailand,Tailandia
0.03,Philippines,Filipinas
0.04,Mongolia,Mongolia
0.05,Austria,Austria
0.06,Poland,Polonia
0.07,Estonia,Estonia
0.08,Paraguay,Paraguay
0.08,Tajikistan,Tajikistan
0.09,Uruguay,Uruguay
0.11,Costa Rica,Costa Rica
0.11,Nicaragua,Nicaragua
0.13,El Salvador,El Salvador
0.14,Dominican Rep.,Rep. Dominicana
0.15,Japan,Japon
0.16,Croatia,Croacia
0.16,Czech Republic,Rep. Checa
0.17,Germany,Alemania
0.19,Hungary,Hungria
0.19,Serbia,Serbia
0.2,Oman,Oman
0.24,Belarus,Belarus
0.24,Bosnia and H.,Bosnia H.
0.25,Azerbaijan,Azerbaiyan
0.25,Kyrgyzstan,Kirguistan
0.27,Morocco,Marruecos
0.27,Syria,Siria
0.3,Denmark,Dinamarca
0.3,Slovakia,Eslovaquia
0.3,Slovenia,Eslovenia
0.35,Latvia,Letonia
0.35,Maldives,Maldivas
0.35,Moldova,Moldova
0.36,Ecuador,Ecuador
0.41,Peru,Peru
0.44,Algeria,Argelia
0.46,Panama,Panama
0.47,Italy,Italia
0.49,Albania,Albania
0.49,Saudi Arabia,Arabia Saudita
0.5,Ukraine,Ucrania
0.51,Spain,Espana
0.53,Bolivia,Bolivia
0.55,Kazakhstan,Kazajistan
0.56,Mexico,Mexico
0.59,Jordan,Jordania
0.64,Montenegro,Montenegro
0.7,Iceland,Islandia
0.71,Chile,Chile
0.72,Bangladesh,Bangladesh
0.75,Qatar,Qatar
0.77,Georgia,Georgia
0.85,Armenia,Armenia
0.89,Nepal,Nepal
0.9,Lebanon,Libano
0.91,New Zealand,Nueva Zelanda
1.18,Macedonia,Macedonia
1.34,Romania,Rumania
1.58,Zimbabwe,Zimbabue
1.77,Lithuania,Lituania
1.78,Cyprus,Chipre
1.87,Ireland,Irlanda
1.94,United Arab Emi.,Emiratos Arabes U.
2.09,India,India
2.46,Bulgaria,Bulgaria
2.66,Turkmenistan,Turkmenistan
2.77,Belize,Belice
2.82,Bahrain,Bahrain
3.1,Northern Ireland,Irlanda del Norte
3.53,France,Francia
3.66,Switzerland,Suiza
3.68,Belgium,Belgica
3.81,Australia,Australia
4.41,England & W.,Inglaterra y G.
4.48,Sri Lanka,Sri Lanka
5.14,Luxembourg,Luxemburgo
5.25,Portugal,Portugal
5.37,Palestine,Palestina
5.77,Tunisia,Tunisia
6.65,South Africa,Sudafrica
7.45,Scotland,Escocia
8.61,Swaziland,Suazilandia
11.52,Kuwait,Kuwait
13.82,Canada,Canada
14.84,Turkey,Turquia
