rate,country,pais
0.0,Liechtenstein,Liechtenstein
0.2,Singapore,Singapur
0.3,Japan,Japón
0.3,Iceland,Islandia
0.4,Hong Kong,Hong Kong
0.4,Kuwait,Kuwait
0.6,Switzerland,Suiza
0.6,Indonesia,Indonesia
0.7,Sweden,Suecia
0.7,United Arab Emirates,Emiratos Arabes
0.7,San Marino,San Marino
0.7,Slovenia,Eslovenia
0.8,Germany,Alemania
0.8,Denmark,Dinamarca
0.8,Saudi Arabia,Arabia Saudita
0.8,Spain,España
0.9,Italy,Italia
0.9,Austria,Austria
0.9,Netherlands,Holanda
0.9,New Zealand,Nueva Zelanda
0.9,South Korea,Corea del Sur
1.0,France,Francia
1.0,Czech Republic,Rep. Checa
1.0,Tonga,Tonga
1.0,China,China
1.1,Qatar,Qatar
1.1,Australia,Australia
1.2,Ireland,Irlanda
1.2,Croatia,Croacia
1.2,Portugal,Portugal
1.2,Serbia,Serbia
1.3,Hungary,Hungría
1.3,Nauru,Nauru
1.4,Slovakia,Eslovaquia
1.6,Canada,Canada
1.6,Finland,Finland
1.6,Belgium,Bélgica
1.7,Greece,Grecia
1.7,Libya,Libia
1.7,Romania,Rumania
1.8,Israel,Israel
1.8,Malawi,Malawi
1.8,Armenia,Armenia
1.9,Bulgaria,Bulgaria
1.9,Sierra Leone,Sierra Leona
2.0,Brunei,Brunei
2.0,Cyprus,Chipre
2.2,Morocco,Marruecos
2.0,Lebanon,Líbano
2.2,Tunisia,Tunisia
2.3,Malaysia,Malaysia
2.6,Turkey,Turquía
2.7,Bangladesh,Bangladesh
2.7,Montenegro,Montenegro
2.8,Senegal,Senegal
2.8,Malta,Malta
2.9,Vanuatu,Vanuatu
3.0,Taiwan,Taiwan
3.1,Chile,Chile
3.1,Palau,Palau
3.1,Cook Islands,Cook Islands
3.2,Liberia,Liberia
3.3,Viet Nam,Viet Nam
3.5,India,India
3.6,Niue,Niue
3.6,Samoa,Samoa
3.7,Uzbekistan,Uzbekistan
3.9,Maldives,Maldives
4.0,Fiji,Fiji
4.1,Iran,Irám
4.2,Cuba,Cuba
4.2,Tuvalu,Tuvalu
4.3,Solomon Islands,Islas Solomón
4.6,Micronesia,Micronesia
4.7,USA,Estados Unidos
4.7,Niger,Niger
4.7,Latvia,Letonia
4.7,Marshall Islands,Islas Marshall
5.0,Mauritania,Mauritania
5.0,Albania,Albania
5.0,Thailand,Tailandia
5.1,Belarus,Belarus
5.2,North Korea,Corea del Norte
5.5,Argentina,Argentina
5.9,Laos,Laos
6.1,Ghana,Ghana
6.1,Suriname,Suriname
6.4,Kenya,Kenya
6.5,Cambodia,Cambodia
6.5,Afghanistan,Afghanistan
6.5,Moldova,Moldova
6.7,Lithuania,Lithuania
7.1,Eritrea,Eritrea
7.3,Chad,Chad
7.4,Palestine,Palestina
7.4,Barbados,Barbados
7.5,Mali,Mali
7.6,Cameroon,Cameroon
7.7,Bermuda,Bermuda
7.7,Pakistan,Pakistan
7.8,Kazakhstan,Kazakhstan
7.9,Uruguay,Uruguay
8.0,Iraq,Iraq
8.0,Burundi,Burundi
8.0,Somalia,Somalia
8.0,Burkina Faso,Burkina Faso
8.2,Kiribati,Kiribati
8.4,Benin,Benin
8.4,Guinea-Bissau,Guinea-Bissau
8.5,Costa Rica,Costa Rica
8.8,Philippines,Filipinas
8.9,Guinea,Guinea
9.1,Gabon,Gabon
9.2,Russia,Rusia
9.5,Seychelles,Seychelles
9.6,Peru,Peru
9.7,Paraguay,Paraguay
10.0,Angola,Angola
10.0,Comoros,Comoros
10.1,Djibouti,Djibouti
10.2,Haiti ,Haiti 
10.2,Gambia,Gambia
10.3,Cabo Verde,Cabo Verde
10.3,Togo,Togo
10.6,Zimbabwe,Zimbabwe
10.7,Zambia,Zambia
11.1,Madagascar,Madagascar
11.2,Sudan,Sudan
11.2,Antigua and Barbuda,Antigua y Barbuda
11.3,Nicaragua,Nicaragua
11.8,C. African Rep.,Rep. Centroafricana
12.0,Ethiopia,Etiopía
12.1,Bolivia,Bolivia
12.4,Mozambique,Mozambique
12.4,Ecuador,Ecuador
12.5,Congo,Congo
12.7,Tanzania,Tanzania
12.8,Turkmenistan,Turkmenistan
13.3,Grenada,Grenada
13.6,Cote d'Ivoire,Costa de Marfil
13.9,South Sudan,Sudán del Sur
15.2,Myanmar,Myanmar
17.0,Guyana,Guyana
17.2,Namibia,Namibia
17.2,Panama,Panamá
18.4,Botswana,Botswana
19.3,Eq. Guinea,Guinea Ecuatorial
20.0,Nigeria,Nigeria
21.5,Mexico,México
21.6,Saint Lucia,Santa Lucía
22.1,Dominican Rep.,Rep. Dominicana
23.1,Rwanda,Rwanda
25.2,Brazil,Brasil
25.6,Saint Vincent,San Vicente
26.5,Puerto Rico,Puerto Rico
28.3,DR Congo,Congo
28.3,Trinidad and Tobago,Trinidad y Tobago
29.8,Bahamas,Bahamas
30.8,Colombia,Colombia
31.0,South Africa,South Africa
33.6,Saint Kitts,San Kitts
33.8,Swaziland,Swaziland
39.3,Jamaica,Jamaica
39.9,Guatemala,Guatemala
41.2,El Salvador,El Salvador
44.7,Belize,Belice
53.7,Venezuela,Venezuela
90.4,Honduras,Honduras
